id,title,rating,movie_year,movie_country,movie_type,movie_actor
36857150,她行走于黑暗中,6.2,2025,西班牙,惊悚 历史,阿古斯丁·迪亚斯·亚内斯苏珊娜·阿巴图纳·戈麦斯 劳尔·阿雷瓦洛
37109415,平安夜，杀人夜,6.1,2025,美国,惊悚 恐怖,迈克·P·纳尔逊罗汉·坎贝尔 露比·莫迪恩
37066724,他年她日,7.5,2025,中国香港 中国台湾,爱情 奇幻,龚兆平许光汉 袁澧林
36576305,女孩不平凡,7.1,2025,中国台湾 中国澳门 中国香港 泰国,爱情 同性,徐欣羨廖子妤 余香凝
37069578,万事顺利,7.5,2025,日本,未知,児山隆南沙良 出口夏希
34850565,南方时光,6.2,2025,中国台湾,未知,曹仕翰陈玄力 吴慷仁
36883109,宝岛,6.2,2025,日本,历史,大友启史妻夫木聪 广濑铃
37106646,保护者,6.2,2025,美国,动作 惊悚,阿德里安·格鲁伯格米拉·乔沃维奇 马修·莫迪恩
37455277,死神之夜,5.6,2025,美国,惊悚 恐怖,布兰登·克里斯坦森杰西卡·克莱门特 瑞安·罗宾斯
36686227,伦敦呼叫,5.9,2025,美国 南非,喜剧 动作,阿伦·安加乔什·杜哈明 杰里米·雷·泰勒
37480003,杀手#4,6.4,2025,中国香港 日本,动作 犯罪,喇英魏浚笙 南沙良
37322522,愚者的身份,6.9,2025,日本,惊悚,永田琴北村匠海 绫野刚
37496194,吉安马可·索雷西：欢乐窃贼,8.9,2025,美国,未知,
35295232,绮梦之旅,5.7,2025,美国 爱尔兰,爱情 奇幻 冒险,郭共达玛格特·罗比 科林·法瑞尔
37154895,楼上的人们,6.3,2025,韩国,爱情,河正宇河正宇 李荷妮
36960951,猩疯血雨,5.4,2025,美国 英国 加拿大 澳大利亚,恐怖,约翰内斯·罗伯茨约翰尼·斯奎娅 杰西·亚历山大
36795366,猛虎末路,6.7,2025,德国,动作 历史 战争,丹尼斯·甘塞尔劳伦斯·鲁波 大卫·舒特
37455042,我们是伯利恒,7.4,2025,阿根廷,犯罪,多洛蕾斯·方齐多洛蕾斯·方齐 卡米拉·普拉阿特
36654373,政坛新星,5.8,2025,美国,喜剧,詹姆斯·L·布鲁克斯艾玛·麦基 杰米·李·柯蒂斯
37049323,秒速5厘米,7.4,2025,日本,爱情,奥山由之松村北斗 高畑充希
37090072,把哥哥变成可以携带的尺寸,6.7,2025,日本,喜剧,中野量太柴崎幸 小田切让
37249349,鬼市,5.3,2025,韩国,惊悚 恐怖,洪元基刘宰明 文彩元
36782374,轻于鸿毛,6.2,2025,中国大陆,未知,周铨宋佳 佟丽娅
36978619,乌龙巴黎梦,5.8,2025,美国,喜剧 爱情,贾宁·达米安米兰达·卡斯格拉夫 皮尔森·福德
37331479,捏造贝多芬,5.6,2025,日本,未知,关和亮山田裕贵 古田新太
35268609,安身何处,7.0,2025,美国,喜剧,霍尔·哈特利比尔·萨奇 埃迪·法可
35881440,唐顿庄园3,8.6,2025,英国 美国,未知,西蒙·柯蒂斯米歇尔·道克瑞 休·博纳维尔
36245712,三级警戒,7.9,2025,美国,喜剧 动作,克里斯托弗·莱昂内雷恩·威尔森 里尔·莱尔·哈瓦瑞
37045933,无名之町,5.7,2025,日本,犯罪,田中亮福山雅治 有村架纯
35270404,死亡竞走,5.4,2025,美国 加拿大,惊悚 恐怖,弗朗西斯·劳伦斯库珀·霍夫曼 戴维·荣松
37125887,家用摄像头,5.5,2025,韩国,恐怖,吴世浩尹世雅 权赫
37068430,两架钢琴,6.1,2025,法国,爱情 音乐,阿诺·戴普勒尚弗朗索瓦·西维尔 娜迪亚·特列什科维奇
36828567,点爱成金,7.7,2025,美国,传记,蕾琪儿·戈登堡莉莉·詹姆斯 杰克逊·怀特
37233382,三声再见,7.8,2025,意大利 西班牙,未知,伊莎贝尔·科赛特阿尔芭·罗尔瓦赫尔 埃利奥·杰曼诺
36141933,尘兔,5.9,2025,美国,动作 惊悚 恐怖,布莱恩·福勒大卫·达斯马齐连 麦斯·米科尔森
35182657,母鸡,7.4,2025,德国 希腊 匈牙利,家庭,乔治·巴勒菲雅尼斯·科基亚斯梅诺斯 玛丽亚·迪亚科帕纳约图
36236940,成年,5.5,2025,美国,喜剧 悬疑 犯罪,亚历克斯·温特安东尼·卡里根 卡雅·斯考达里奥
36860441,妥瑞氏与我,8.3,2025,英国,传记 历史,柯克·琼斯罗伯特·阿拉马约 彼得·穆兰
37227058,奇南客栈,7.6,2025,越南,爱情,黎光连炳发 杜氏海燕
36707354,永恒站,7.2,2025,美国,喜剧 爱情 奇幻,大卫·费恩迈尔斯·特勒 伊丽莎白·奥尔森
36085606,好孩子,8.1,2025,新加坡,同性,王国燊许瑞奇 洪慧芳
36362847,海达,6.1,2025,美国,未知,尼娅·达科斯塔泰莎·汤普森 伊莫琴·普茨
36679932,纽伦堡,7.3,2025,美国 匈牙利,惊悚 历史,詹姆斯·范德比尔特罗素·克劳 拉米·马雷克
37116612,世界的主人,9.1,2025,韩国,未知,尹佳恩徐粹彬 张慧珍
37123674,时装,6.1,2025,法国 美国,未知,艾丽斯·威诺古尔安吉丽娜·朱莉 阿尼尔·阿内伊
36764944,屋顶人,7.1,2025,美国,犯罪,德里克·斯安弗朗斯查宁·塔图姆 克尔斯滕·邓斯特
36772308,替补悍警,6.3,2025,加拿大 美国,动作 惊悚 犯罪,本·维特利鲍勃·奥登科克 琳娜·海蒂
36877245,火遮眼,8.9,2025,中国香港 中国大陆,动作 惊悚,谷垣健治谢苗 杨恩又
36650662,临租家庭,7.3,2025,日本 美国,喜剧,宫崎光代布兰登·费舍 平岳大
37033729,英雄百夜,6.5,2025,英国,爱情 同性 奇幻,朱莉娅·杰克曼艾玛·科林 麦卡·梦露
36367175,好运,6.2,2025,美国,喜剧 动作 爱情 奇幻,阿兹·安萨里阿兹·安萨里 基努·里维斯
35419153,利刃出鞘3,7.6,2025,美国,喜剧 悬疑 惊悚 犯罪,莱恩·约翰逊丹尼尔·克雷格 乔什·奥康纳
36909418,凶降喜讯,7.7,2025,韩国,喜剧 惊悚 犯罪,卞成贤薛景求 红炅
